text,label,source
"URGENT SHARE NOW: CHELLE PICKS OSIMHEN, LOOKMAN FOR PORTUGAL, POLAND FRIENDLIES, NAMES SEVEN NPFL STARS FOR UNITY CUP FORWARD IMMEDIATELY!",1,Synthetic_Fake_Augmented
CONFIRMED!!! COURT STRIKES OUT DECEASED DEPUTY GOVERNOR’S SUIT ???,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
FINAL WARNING: Oil-well Dispute: Inside the report that restores Cross River’s hope SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
"FAAN announces additional health screening measures, enhanced Ebola surveillance at Nigerian airports",0,PremiumTimes_Real
Data & Infographics,0,PremiumTimes_Real
YOU WON'T BELIEVE: INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1) ???,1,Synthetic_Fake_Augmented
YOU WON'T BELIEVE: MORE SPORTS NEWS DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
CONFIRMED!!! FINANCIAL INCLUSION ???,1,Synthetic_Fake_Augmented
BREAKING NEWS: 2024 Edo Governorship Election ???,1,Synthetic_Fake_Augmented
Онлайн казино Казахстан,0,PremiumTimes_Real
CONFIRMED!!! READ MOREDETAILS READ AND SHARE!,1,Synthetic_Fake_Augmented
CONFIRMED!!! More Sports News FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
FINAL WARNING: Read moreDetails SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
NYSC Orientation Camps in Nigeria,0,PremiumTimes_Real
Online Kaszinó Magyar,0,PremiumTimes_Real
YOU WON'T BELIEVE: Nigeria’s Federal/States’ Budgets since 2005 ???,1,Synthetic_Fake_Augmented
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,PremiumTimes_Real
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
Primary Health Tracker,0,PremiumTimes_Real
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,PremiumTimes_Real
Geriausi kazino internetu,0,PremiumTimes_Real
BREAKING NEWS: Primary Health Tracker READ AND SHARE!,1,Synthetic_Fake_Augmented
Forgotten Password?,0,PremiumTimes_Real
Presidential & NASS,0,PremiumTimes_Real
2027: Uzodimma clinches APC Imo West Senatorial District ticket,0,PremiumTimes_Real
FINAL WARNING: Special Reports and Investigations READ AND SHARE!,1,Synthetic_Fake_Augmented
FINAL WARNING: NYSC Orientation Camps in Nigeria ???,1,Synthetic_Fake_Augmented
URGENT SHARE NOW: ONLINE KASZINÓ MAGYAR FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
BREAKING NEWS: PRIMARY HEALTH TRACKER READ AND SHARE!,1,Synthetic_Fake_Augmented
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,PremiumTimes_Real
URGENT SHARE NOW: Read moreDetails DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
BREAKING NEWS: Human Trafficking Investigation SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,PremiumTimes_Real
CONFIRMED!!! RESOURCE CURSE? THE ONLY SCHOOL IN THIS AKWA IBOM OIL COMMUNITY LIES IN RUINS READ AND SHARE!,1,Synthetic_Fake_Augmented
Онлайн казино Казахстан,0,PremiumTimes_Real
"Sterling Holdco to raise fresh $400 million through debt, equity instruments",0,PremiumTimes_Real
BREAKING NEWS: THE MEMBERSHIP CLUB READ AND SHARE!,1,Synthetic_Fake_Augmented
Malabu Scandal Thread,0,PremiumTimes_Real
‎Ondo doctors threaten action over alleged decline in welfare and manpower.,0,PremiumTimes_Real
2024 Edo Governorship Election,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
FINAL WARNING: READ MOREDETAILS !!!,1,Synthetic_Fake_Augmented
URGENT SHARE NOW: Read moreDetails ???,1,Synthetic_Fake_Augmented
YOU WON'T BELIEVE: RESEARCH & INNOVATION DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
NYSC Orientation Camps in Nigeria,0,PremiumTimes_Real
CONFIRMED!!! OUR DIGITAL NETWORK SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Primary Health Tracker,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
2024 Edo Governorship Election,0,PremiumTimes_Real
FINAL WARNING: non Gamstop casinos !!!,1,Synthetic_Fake_Augmented
Abubakar Ahmadu Maishanu,0,PremiumTimes_Real
SHOCKING!!! Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
2024 Ondo Governorship Election,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
SHOCKING!!! HUMAN TRAFFICKING INVESTIGATION DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
"URGENT SHARE NOW: FAAN announces additional health screening measures, enhanced Ebola surveillance at Nigerian airports ???",1,Synthetic_Fake_Augmented
AbdulRazaq endorses governorship aspirant amid Kwara APC tensions,0,PremiumTimes_Real
Gubernatorial & State House,0,PremiumTimes_Real
CONFIRMED!!! SPECIAL REPORTS AND INVESTIGATIONS READ AND SHARE!,1,Synthetic_Fake_Augmented
2024 Ondo Governorship Election,0,PremiumTimes_Real
SHOCKING!!! MORE SPORTS NEWS FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
2024 Edo Governorship Election,0,PremiumTimes_Real
"FINAL WARNING: EID AND THE EPIDEMIC OF EMPTY POCKETS, BY REUBEN ABATI ???",1,Synthetic_Fake_Augmented
BREAKING NEWS: EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
BREAKING NEWS: FEATURES AND INTERVIEWS SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Special Reports and Investigations,0,PremiumTimes_Real
FINAL WARNING: Oil-well Dispute: Inside the report that restores Cross River’s hope FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
YOU WON'T BELIEVE: SPECIAL REPORTS/INVESTIGATIONS FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
Nigerian athlete shot dead days before MBA graduation in United States,0,PremiumTimes_Real
BREAKING NEWS: DATA AND INFOGRAPHICS DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Gbemidepo Popoola,0,PremiumTimes_Real
"CONFIRMED!!! CANDIDATE SELECTION OR CIVILIAN COUP?, BY DAKUKU PETERSIDE !!!",1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
BREAKING NEWS: OLOYEDE MADE JAMB MODEL FOR NIGERIA’S PUBLIC INSTITUTIONS – CLERIC ???,1,Synthetic_Fake_Augmented
Wrexham goalkeeper Arthur Okonkwo speaks on first Super Eagles’ call-up,0,PremiumTimes_Real
Primary Health Tracker,0,PremiumTimes_Real
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,PremiumTimes_Real
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,PremiumTimes_Real
YOU WON'T BELIEVE: KUKAH RECOUNTS GOWON’S POST-EXILE LIFE AFTER OUSTER FROM POWER DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
"BREAKING NEWS: JUST IN: Pantami withdraws from Gombe APC governorship primaries, gives reasons DON'T IGNORE THIS!",1,Synthetic_Fake_Augmented
"The Premium Times, Nigeria",0,PremiumTimes_Real
BREAKING NEWS: 2024 ONDO GOVERNORSHIP ELECTION DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
2027: APC appeal committee receives 5 petitions on Delta NASS primaries,0,PremiumTimes_Real
SHOCKING!!! READ MOREDETAILS READ AND SHARE!,1,Synthetic_Fake_Augmented
"Eid and the epidemic of empty pockets, By Reuben Abati",0,PremiumTimes_Real
URGENT SHARE NOW: Primary Health Tracker !!!,1,Synthetic_Fake_Augmented
"URGENT SHARE NOW: NDC as the new frontier of opposition, By Majeed Dahiru SHARE TO ALL GROUPS!",1,Synthetic_Fake_Augmented
YOU WON'T BELIEVE: Late arrival of officials stalls APC’s state assembly primaries in Lagos READ AND SHARE!,1,Synthetic_Fake_Augmented
BREAKING NEWS: SPECIAL REPORTS AND INVESTIGATIONS ???,1,Synthetic_Fake_Augmented
Modern Slavery: Inside Nigerian communities where children are sold into marriage (II),0,PremiumTimes_Real
2024 Ondo Governorship Election,0,PremiumTimes_Real
YOU WON'T BELIEVE: READ MOREDETAILS ???,1,Synthetic_Fake_Augmented
"The Premium Times, Nigeria",0,PremiumTimes_Real
Primary Health Tracker,0,PremiumTimes_Real
SHOCKING!!! PRESS ATTACK TRACKER !!!,1,Synthetic_Fake_Augmented
Geriausi kazino internetu,0,PremiumTimes_Real
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,PremiumTimes_Real
Gubernatorial & State House,0,PremiumTimes_Real
2024 Edo Governorship Election,0,PremiumTimes_Real
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,PremiumTimes_Real
URGENT SHARE NOW: Analysis and Data DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,PremiumTimes_Real
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,PremiumTimes_Real
"Candidate selection or civilian coup?, By Dakuku Peterside",0,PremiumTimes_Real
APC Primaries: Adebule emerges Lagos West candidate unopposed,0,PremiumTimes_Real
YOU WON'T BELIEVE: Read moreDetails FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
YOU WON'T BELIEVE: Financial Inclusion SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
BREAKING NEWS: FEATURES AND INTERVIEWS DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
FINAL WARNING: BUSINESS SPECIALS !!!,1,Synthetic_Fake_Augmented
List of Universities in Nigeria,0,PremiumTimes_Real
YOU WON'T BELIEVE: 2024 Edo Governorship Election SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
SHOCKING!!! ONLINE KASZINÓ MAGYAR !!!,1,Synthetic_Fake_Augmented
non Gamstop casinos,0,PremiumTimes_Real
Online Kaszinó Magyar,0,PremiumTimes_Real
Special Reports/Investigations,0,PremiumTimes_Real
2024 Ondo Governorship Election,0,PremiumTimes_Real
Late arrival of officials stalls APC’s state assembly primaries in Lagos,0,PremiumTimes_Real
Geriausi kazino internetu,0,PremiumTimes_Real
2024 Edo Governorship Election,0,PremiumTimes_Real
Headline Stories,0,PremiumTimes_Real
Plateau APC primaries sweep out six federal lawmakers,0,PremiumTimes_Real
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,PremiumTimes_Real
2027: Court to deliver judgement in suit challenging Jonathan’s eligibility,0,PremiumTimes_Real
"SHOCKING!!! NDC AS THE NEW FRONTIER OF OPPOSITION, BY MAJEED DAHIRU SHARE TO ALL GROUPS!",1,Synthetic_Fake_Augmented
FINAL WARNING: FISCAL BREACH UNCOVERED: HOW IMO UNDER UZODINMA SPENT N101.5 BILLION IN UNAPPROVED FUNDS READ AND SHARE!,1,Synthetic_Fake_Augmented
"Okowa defeats Ned Nwoko, wins APC Delta North senatorial ticket",0,PremiumTimes_Real
More Sports News,0,PremiumTimes_Real
"After 15 years in the Senate, Goje loses APC primary",0,PremiumTimes_Real
URGENT SHARE NOW: Headline Stories READ AND SHARE!,1,Synthetic_Fake_Augmented
CONFIRMED!!! EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister !!!,1,Synthetic_Fake_Augmented
Manasseh Mbachii,0,PremiumTimes_Real
Panama Papers Game,0,PremiumTimes_Real
CONFIRMED!!! Blood on Uniforms DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
"2027: Dafinone defeats Omo-Agege, wins APC senatorial ticket in Delta",0,PremiumTimes_Real
Geriausi kazino internetu,0,PremiumTimes_Real
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,PremiumTimes_Real
"CJID, EU launch initiative to fight disinformation, strengthen democratic resilience in north-west Nigeria",0,PremiumTimes_Real
"Oyedele unveils Tax Ombud website, digital portal to strengthen taxpayer protection",0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
SHOCKING!!! BLOOD ON UNIFORMS SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Abdulkareem Mojeed,0,PremiumTimes_Real
Financial Inclusion,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
Financial Inclusion,0,PremiumTimes_Real
Blood on Uniforms,0,PremiumTimes_Real
"CONFIRMED!!! Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo !!!",1,Synthetic_Fake_Augmented
"YOU WON'T BELIEVE: South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba SHARE TO ALL GROUPS!",1,Synthetic_Fake_Augmented
"CONFIRMED!!! SOUTH AFRICA DOESN’T HAVE A LEADERSHIP CRISIS: IT HAS A HUMANITY CRISIS, BY NQOBILE PAMELA XABA DON'T IGNORE THIS!",1,Synthetic_Fake_Augmented
YOU WON'T BELIEVE: Headline Stories DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
CONFIRMED!!! ANALYSIS AND DATA READ AND SHARE!,1,Synthetic_Fake_Augmented
"APC Primaries: Senate spokesperson, other serving Ekiti senators win return tickets",0,PremiumTimes_Real
Headline Stories,0,PremiumTimes_Real
"FINAL WARNING: NDC AS THE NEW FRONTIER OF OPPOSITION, BY MAJEED DAHIRU READ AND SHARE!",1,Synthetic_Fake_Augmented
BREAKING NEWS: 2024 EDO GOVERNORSHIP ELECTION READ AND SHARE!,1,Synthetic_Fake_Augmented
National Conference,0,PremiumTimes_Real
How some people claimed I planned to kill Tinubu to take over power – VP Shettima,0,PremiumTimes_Real
The Membership Club,0,PremiumTimes_Real
Blood on Uniforms,0,PremiumTimes_Real
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,PremiumTimes_Real
URGENT SHARE NOW: Data & Infographics SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Abubakar Ahmadu Maishanu,0,PremiumTimes_Real
Features and Interviews,0,PremiumTimes_Real
Primary Health Tracker,0,PremiumTimes_Real
YOU WON'T BELIEVE: INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1) DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Data & Infographics,0,PremiumTimes_Real
URGENT SHARE NOW: Headline Stories ???,1,Synthetic_Fake_Augmented
BREAKING NEWS: NON GAMSTOP CASINOS SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Centre for Investigative Journalism,0,PremiumTimes_Real
SHOCKING!!! NON GAMSTOP CASINOS DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,PremiumTimes_Real
URGENT SHARE NOW: 2024 Ondo Governorship Election DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
YOU WON'T BELIEVE: NON GAMSTOP CASINOS DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
SHOCKING!!! Read moreDetails READ AND SHARE!,1,Synthetic_Fake_Augmented
Cross River senator rejects APC primary election results,0,PremiumTimes_Real
More Sports News,0,PremiumTimes_Real
"YOU WON'T BELIEVE: Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo SHARE TO ALL GROUPS!",1,Synthetic_Fake_Augmented
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,PremiumTimes_Real
"Gowon Memoir: Jonathan, Sultan, rally Nigerians to preserve history",0,PremiumTimes_Real
Special Reports/Investigations,0,PremiumTimes_Real
"FINAL WARNING: South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba SHARE TO ALL GROUPS!",1,Synthetic_Fake_Augmented
Special Reports and Investigations,0,PremiumTimes_Real
"Aspirants reject result of APC primary in Ekiti, demand cancellation",0,PremiumTimes_Real
Online Kaszinó Magyar,0,PremiumTimes_Real
"BREAKING NEWS: Enugu, Chinese firm launch digital training for students !!!",1,Synthetic_Fake_Augmented
Abdulqudus Ogundapo,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
FINAL WARNING: Financial Inclusion READ AND SHARE!,1,Synthetic_Fake_Augmented
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,PremiumTimes_Real
FINAL WARNING: BLOOD ON UNIFORMS READ AND SHARE!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
CONFIRMED!!! Онлайн казино Казахстан FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
CONFIRMED!!! More Sports News !!!,1,Synthetic_Fake_Augmented
Analysis and Data,0,PremiumTimes_Real
Court strikes out deceased deputy governor’s suit,0,PremiumTimes_Real
FINAL WARNING: Read moreDetails READ AND SHARE!,1,Synthetic_Fake_Augmented
BREAKING NEWS: FEATURES AND INTERVIEWS SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
"URGENT SHARE NOW: SOUTH AFRICA DOESN’T HAVE A LEADERSHIP CRISIS: IT HAS A HUMANITY CRISIS, BY NQOBILE PAMELA XABA SHARE TO ALL GROUPS!",1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
Nigeria’s Federal/States’ Budgets since 2005,0,PremiumTimes_Real
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,PremiumTimes_Real
YOU WON'T BELIEVE: SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
Онлайн казино Казахстан,0,PremiumTimes_Real
SHOCKING!!! PRESIDENTIAL & NASS !!!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
URGENT SHARE NOW: PARLIAMENT WATCH DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Special Reports/Investigations,0,PremiumTimes_Real
"YOU WON'T BELIEVE: HOW CLOSE ASSOCIATES BETRAYED, OVERTHREW ME — GOWON READ AND SHARE!",1,Synthetic_Fake_Augmented
Togo removes visa requirement for African nationals,0,PremiumTimes_Real
FINAL WARNING: SPECIAL REPORTS AND INVESTIGATIONS READ AND SHARE!,1,Synthetic_Fake_Augmented
CONFIRMED!!! #ENDSARS DASHBOARD DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
